EX1G,EX2G,A1G,A2G,C1G,C2G,ES1G,ES2G,O1G,O2G,EX1,EX2,A1,A2,C1,C2,ES1,ES2,O1,O2,H/D
4,2,1,4,2,4,4,4,2,2,1.64,1.33,1.22,1.49,2.25,2.06,2.95,2.68,3.48,2.49,H
4,1,5,5,5,5,5,5,5,5,0.33,0.75,7.85,7.44,5.99,1.96,9.26,8.00,5.44,4.85,H
5,2,5,4,5,5,4,4,5,4,3.31,0.33,4.91,1.19,3.74,1.22,2.36,2.14,3.40,2.17,H
5,3,2,4,1,5,2,4,4,2,1.33,0.72,1.48,0.89,1.08,0.49,1.46,1.61,1.30,1.86,H
4,5,3,4,2,4,4,4,5,5,1.64,4.22,0.56,1.49,0.56,2.06,2.95,2.68,2.04,1.82,H
3,2,4,3,3,4,3,2,3,1,3.54,0.66,1.24,3.27,3.80,0.82,3.31,1.07,3.11,1.22,H
5,1,1,2,5,5,1,2,4,4,1.99,2.25,3.65,1.80,2.25,0.73,2.65,1.07,0.86,1.08,H
3,2,5,4,4,4,1,2,3,2,1.42,1.00,0.98,0.89,1.61,1.24,0.88,1.61,1.24,1.86,H
4,3,4,2,4,5,1,1,5,4,1.31,0.72,2.49,0.90,2.14,0.49,1.77,2.00,1.36,2.17,H
5,2,3,4,3,5,5,3,4,5,2.65,0.33,1.69,0.59,2.28,0.98,4.63,1.99,0.86,2.42,H
5,2,1,5,5,5,1,2,5,4,3.31,0.66,2.43,4.65,3.74,1.22,1.77,1.07,3.40,0.54,H
4,3,2,4,4,5,4,2,3,4,1.64,1.44,0.98,1.49,2.68,0.24,2.95,1.07,1.24,2.71,H
5,5,5,5,3,5,3,4,5,5,4.64,9.85,6.87,6.51,1.52,1.71,1.33,0.54,4.76,4.24,H
5,5,3,4,5,5,5,5,5,5,5.30,11.26,0.56,0.30,5.99,1.96,9.26,8.00,5.44,4.85,H
4,2,3,2,2,5,4,4,5,4,1.31,1.00,0.56,2.70,1.69,0.49,2.36,2.14,1.36,2.17,H
5,5,4,1,2,5,1,1,5,5,3.31,7.04,0.62,4.55,0.56,1.22,2.65,3.00,3.40,3.03,H
3,3,3,4,4,4,2,1,3,3,3.54,3.59,2.81,0.89,1.61,1.24,0.49,1.00,3.11,3.91,H
4,2,4,4,1,5,3,4,4,3,1.64,0.33,3.11,1.49,1.08,0.24,1.33,2.68,2.16,1.56,H
5,1,3,5,5,5,1,1,3,4,2.65,2.25,1.12,3.72,3.00,0.98,2.65,3.00,1.24,0.54,H
4,3,3,3,4,4,4,3,3,3,1.31,4.31,3.37,3.92,2.14,1.65,2.36,3.98,3.73,4.69,H
3,3,2,3,3,2,3,4,4,3,4.25,4.31,0.98,3.92,4.56,3.33,3.98,1.07,0.86,4.69,H
4,3,4,4,5,5,3,5,5,5,0.98,1.44,1.86,0.89,3.74,1.22,1.33,5.00,3.40,3.03,H
3,3,2,4,3,5,5,4,4,3,2.83,2.87,0.49,0.89,3.04,0.49,2.32,1.61,1.30,3.13,H
5,1,3,1,3,5,4,3,1,2,1.33,2.25,1.69,4.55,2.28,0.49,0.59,1.99,3.96,0.62,H
5,4,3,3,2,4,3,4,3,4,0.66,3.60,2.25,2.62,0.56,1.65,2.65,2.14,2.49,2.17,H
4,2,3,4,5,4,5,4,4,5,1.64,0.33,0.56,1.49,2.25,2.06,3.47,2.68,2.16,1.82,H
2,1,1,3,4,5,2,3,4,1,1.96,2.25,3.65,1.31,1.07,0.24,0.97,1.33,0.86,3.65,H
5,1,1,5,5,5,2,5,5,5,4.64,1.50,2.43,6.51,5.24,1.71,0.49,7.00,4.76,4.24,H
4,3,4,4,4,5,3,3,4,5,1.64,2.15,3.11,1.49,2.68,0.49,1.99,1.99,2.16,1.21,H
4,3,2,4,2,5,1,2,2,4,0.98,0.72,1.97,0.89,2.25,0.24,0.88,2.14,3.48,1.63,H
4,2,2,1,3,5,2,3,4,5,0.66,1.00,1.48,1.52,1.52,0.49,1.46,1.33,0.86,1.21,H
